Paper No.,Citation,Photocatalyst type,Photocatalyst category,Membrane materials,Membrane type,PPCPs,logP,MW,SMILES,Original concentration (mg/L),pH,Dark time,Light time,Light frequency,Hybrid methods,Removal efficiency (%),Removal efficiency
73,"Qing et al., 2022","Bi2WO6, g-C3N4",Heterojunction,PA,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,3,9,180,240,visible,vacuum filtration,90,0.9
73,"Qing et al., 2022","Bi2WO6, g-C3N4",Heterojunction,PA,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,3,11,180,240,visible,vacuum filtration,90,0.9
74,"Yang et al., 2022","g-C3N4, BiOBr/BiOI",Heterojunction,Ceramics,NF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,6,0,120,visible,electrospinning,100,1
76,"Popa et al., 2021",ZnO,Single,PVDF,MF,OTC,-0.9,460.4,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,40,6,0,300,UV,sol-gel,71,0.71
77,"Dekkouche et al., 2022",TiO2,Single,PVDF,MF,DCF,4.51,296.1,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,0.3,6.5,1440,1440,UV,sol-gel,92,0.92
77,"Dekkouche et al., 2022",TiO2,Single,PVDF,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,0.3,6.5,1440,1440,UV,sol-gel,94,0.94
77,"Dekkouche et al., 2022",TiO2,Single,PTFE,MF,DCF,4.51,296.1,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,0.3,6.5,1440,1440,UV,sol-gel,89,0.89
77,"Dekkouche et al., 2022",TiO2,Single,PTFE,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,0.3,6.5,1440,1440,UV,sol-gel,92,0.92
77,"Dekkouche et al., 2022",TiO2,Single,PSF,MF,DCF,4.51,296.1,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,0.3,6.5,1440,1440,UV,sol-gel,93,0.93
77,"Dekkouche et al., 2022",TiO2,Single,PSF,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,0.3,6.5,1440,1440,UV,sol-gel,96,0.96
79,"Zheng et al., 2023",None,No photocatalyst,PVDF,MF,CIP,0.28,331.34,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,5,3,0,300,visible,phase inversion,12,0.12
79,"Zheng et al., 2023","TiO2, Au",Single + metal,PVDF,MF,CIP,0.28,331.34,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,5,3,0,300,UV,phase inversion,45,0.45
79,"Zheng et al., 2023","TiO2, Au",Single + metal,PVDF,MF,CIP,0.28,331.34,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,5,3,0,300,visible,phase inversion,35,0.35
81,"Li et al., 2017","GO, Bi2WO6",Single + 2D,PVDF,MF,CIP,0.28,331.34,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,10,7,0,450,visible,phase inversion,60,0.6
82,"Zhou et al., 2020","TiO2, FeCl3",Single + metal,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,3.03,0,120,UV,phase inversion,98,0.98
82,"Zhou et al., 2020","TiO2, FeCl3",Single + metal,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,3.62,0,120,UV,phase inversion,90.1,0.901
82,"Zhou et al., 2020","TiO2, FeCl3",Single + metal,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,3.97,0,120,UV,phase inversion,86.5,0.865
82,"Zhou et al., 2020","TiO2, FeCl3",Single + metal,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,4.18,0,120,UV,phase inversion,84,0.84
82,"Zhou et al., 2020","TiO2, FeCl3",Single + metal,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,5.07,0,120,UV,phase inversion,77.2,0.772
82,"Zhou et al., 2020","TiO2, FeCl3",Single + metal,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,5.94,0,120,UV,phase inversion,62.2,0.622
82,"Zhou et al., 2020","TiO2, FeCl3",Single + metal,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,6.5,0,120,UV,phase inversion,78.9,0.789
82,"Zhou et al., 2020","TiO2, FeCl3",Single + metal,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,7.06,0,120,UV,phase inversion,82.3,0.823
82,"Zhou et al., 2020","TiO2, FeCl3",Single + metal,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,7.93,0,120,UV,phase inversion,84.1,0.841
82,"Zhou et al., 2020","TiO2, FeCl3",Single + metal,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,8.49,0,120,UV,phase inversion,86.7,0.867
82,"Zhou et al., 2020","TiO2, FeCl3",Single + metal,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,9.13,0,120,UV,phase inversion,87.7,0.877
82,"Zhou et al., 2020","TiO2, FeCl3",Single + metal,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,9.97,0,120,UV,phase inversion,87.8,0.878
82,"Zhou et al., 2020","TiO2, FeCl3",Single + metal,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,10.97,0,120,UV,phase inversion,92.2,0.922
82,"Zhou et al., 2020","TiO2, FeCl3",Single + metal,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,11.98,0,120,UV,phase inversion,94.7,0.947
82,"Zhou et al., 2020","TiO2, FeCl3",Single + metal,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,12.01,0,120,UV,phase inversion,95.4,0.954
84,"Salazar et al., 2020","TiO2, Ag",Single + metal,PVDF,MF,NOR,0.46,319.33,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,5,6,0,300,visible,electrospinning,57.6,0.576
84,"Salazar et al., 2020",None,No photocatalyst,PVDF,MF,NOR,0.46,319.33,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,5,6,0,90,UV,electrospinning,14.7,0.147
84,"Salazar et al., 2020",TiO2,Single,PVDF,MF,NOR,0.46,319.33,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,5,6,0,90,UV,electrospinning,45.2,0.452
84,"Salazar et al., 2020","TiO2, Ag",Single + metal,PVDF,MF,NOR,0.46,319.33,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,5,6,0,90,UV,electrospinning,64.2,0.642
84,"Salazar et al., 2020",TiO2,Single,PVDF,MF,NOR,0.46,319.33,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,5,6,0,90,UV,electrospinning,44.8,0.448
84,"Salazar et al., 2020","TiO2, Ag",Single + metal,PVDF,MF,NOR,0.46,319.33,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,5,6,0,90,UV,electrospinning,51,0.51
84,"Salazar et al., 2020",None,No photocatalyst,PVDF,MF,NOR,0.46,319.33,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,5,7,0,300,visible,phase inversion,0.9,0.009
84,"Salazar et al., 2020","TiO2, Ag",Single + metal,PVDF,MF,NOR,0.46,319.33,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,5,7,0,300,visible,phase inversion,80.7,0.807
85,"Dzinun et al., 2018",TiO2,Single,PVDF,MF,NP,5.76,220.35,CCCCCCCCCC1=CC=C(C=C1)O,100,7,0,720,UV,electrospinning,100,1
86,"Cheng et al., 2022","MXene, BiOCl-Ppy",Single + 2D,PES,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,7,0,480,visible,vacuum filtration,96,0.96
87,"Martins et al., 2019",TiO2,Single,PVDF,MF,IBU,3.97,206.28,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,15,7,0,300,UV,phase inversion,48,0.48
87,"Martins et al., 2019",TiO2,Single,PVDF,MF,CIP,0.28,331.34,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,5,7,0,300,UV,phase inversion,95,0.95
88,"Chakraborty et al., 2017",None,No photocatalyst,PES,UF,CHD,0.08,897.8,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl.C(C(C(C(C(C(=O)O)O)O)O)O)O.C(C(C(C(C(C(=O)O)O)O)O)O)O,1000,7,0,230,full,sol-gel,15,0.15
88,"Chakraborty et al., 2017",TiO2,Single,PES,UF,CHD,0.08,897.8,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl.C(C(C(C(C(C(=O)O)O)O)O)O)O.C(C(C(C(C(C(=O)O)O)O)O)O)O,1000,7,0,230,full,sol-gel,47,0.47
89,"Huh et al., 2020",TiO2,Single,Ceramics,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,6.5,60,420,UV,sol-gel,99.5,0.995
91,"Shareef et al., 2020","TiO2, Ag",Single + metal,Ceramics,MF,BPA,3.32,228.29,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,10,7,0,180,visible,dip-coating,90.5,0.905
93,"Zhou et al., 2020",TiO2,Single,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,7.5,0,120,UV,phase inversion,91.4,0.914
93,"Zhou et al., 2020",TiO2,Single,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,6.24,0,120,UV,phase inversion,65.7,0.657
93,"Zhou et al., 2020",TiO2,Single,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,6.86,0,120,UV,phase inversion,78,0.78
93,"Zhou et al., 2020",TiO2,Single,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,7.16,0,120,UV,phase inversion,85,0.85
93,"Zhou et al., 2020",TiO2,Single,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,7.49,0,120,UV,phase inversion,91.4,0.914
93,"Zhou et al., 2020",TiO2,Single,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,8.19,0,120,UV,phase inversion,78,0.78
93,"Zhou et al., 2020",TiO2,Single,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,8.66,0,120,UV,phase inversion,65,0.65
93,"Zhou et al., 2020",TiO2,Single,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,9.17,0,120,UV,phase inversion,64.7,0.647
94,"You et al., 2022","g-C3N4, TiO2",Heterojunction,PTFE,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,5,0,60,visible,vacuum filtration,99,0.99
94,"You et al., 2022","g-C3N4, TiO2",Heterojunction,PTFE,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,15,5,0,120,visible,vacuum filtration,99,0.99
94,"You et al., 2022","g-C3N4, TiO2",Heterojunction,PTFE,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,5,0,120,visible,vacuum filtration,99,0.99
94,"You et al., 2022","g-C3N4, TiO2",Heterojunction,PTFE,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,50,5,0,120,visible,vacuum filtration,95,0.95
94,"You et al., 2022","g-C3N4, TiO2",Heterojunction,PTFE,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,5,0,120,visible,vacuum filtration,99,0.99
94,"You et al., 2022","g-C3N4, TiO2",Heterojunction,PTFE,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,6,0,120,visible,vacuum filtration,99,0.99
94,"You et al., 2022","g-C3N4, TiO2",Heterojunction,PTFE,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,7,0,120,visible,vacuum filtration,89.1,0.891
94,"You et al., 2022","g-C3N4, TiO2",Heterojunction,PTFE,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,8,0,120,visible,vacuum filtration,82.4,0.824
94,"You et al., 2022","g-C3N4, TiO2",Heterojunction,PTFE,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,9,0,120,visible,vacuum filtration,71.8,0.718
97,"Liang et al., 2020",Chitosan,Single,Chitosan ,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,7,60,60,visible,phase inversion,91.6,0.916
97,"Liang et al., 2020",Chitosan,Single,Chitosan ,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,30,7,60,60,visible,phase inversion,90.9,0.909
97,"Liang et al., 2020",Chitosan,Single,Chitosan ,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,40,7,60,60,visible,phase inversion,89.9,0.899
97,"Liang et al., 2020",Chitosan,Single,Chitosan ,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,50,7,60,60,visible,phase inversion,90,0.9
98,"Wang et al., 2017",g-C3N4,Single,Ceramics,MF,Phenol,1.46,94.11,C1=CC=C(C=C1)O,5,7,0,60,visible,dip-coating,26,0.26
100,"Fischer et al., 2015",TiO2,Single,PVDF,MF,IBU,3.97,206.28,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,100,7,0,150,UV,dip-coating,50,0.5
100,"Fischer et al., 2015",TiO2,Single,PVDF,MF,DCF,4.51,296.1,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,25,7,0,120,UV,dip-coating,55,0.55
100,"Fischer et al., 2015",TiO2,Single,PES,MF,IBU,3.97,206.28,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,100,7,0,150,UV,dip-coating,45,0.45
100,"Fischer et al., 2015",TiO2,Single,PES,MF,DCF,4.51,296.1,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,25,7,0,120,UV,dip-coating,68,0.68
102,"Presumido et al., 2022","TiO2, GO",Single + 2D,Ceramics,MF,DCF,4.51,296.1,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,0.5,6.9,0,200,UV,dip-coating,53,0.53
102,"Presumido et al., 2022","TiO2, GO",Single + 2D,Ceramics,MF,E2,4.01,272.4,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,0.5,6.9,0,200,UV,dip-coating,65,0.65
102,"Presumido et al., 2022","TiO2, GO",Single + 2D,Ceramics,MF,EE2,3.67,296.4,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O,0.5,6.9,0,200,UV,dip-coating,62,0.62
102,"Presumido et al., 2022","TiO2, GO",Single + 2D,Ceramics,MF,AMX,0.87,365.4,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,0.5,6.9,0,200,UV,dip-coating,49,0.49
104,"Shi, Wan et al., 2020​","GO, g-C3N4",Single + 2D,PVDF,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,5,6,60,360,visible,vacuum filtration,84.8,0.848
105,"Shaku et al., 2020",BiVO4,Single,PES,UF,triclosan,4.76,289.5,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,10,7,0,60,UV,phase inversion,86,0.86
106,"Gao et al., 2020",ZnIn2S4,Single,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,4,7,0,180,visible,phase inversion,87,0.87
106,"Gao et al., 2020",ZnIn2S4,Single,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,4,7,0,180,visible,phase inversion,87,0.87
106,"Gao et al., 2020",ZnIn2S4,Single,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,4,7,0,180,visible,phase inversion,87,0.87
106,"Gao et al., 2020",ZnIn2S4,Single,PVDF,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,4,7,0,180,visible,phase inversion,87,0.87
109,"Zhou et al., 2021",None,No photocatalyst,PVDF,MF,minocycline,0.05,457.5,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,10,7,0,60,UV,electrospinning,25,0.25
109,"Zhou et al., 2021",TiO2,Single,PVDF,MF,minocycline,0.05,457.5,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,10,7,0,45,UV,electrospinning,97,0.97
109,"Zhou et al., 2021",TiO2,Single,PVDF,MF,minocycline,0.05,457.5,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,10,11,0,30,UV,electrospinning,97,0.97
109,"Zhou et al., 2021",TiO2,Single,PVDF,MF,minocycline,0.05,457.5,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,10,9,0,30,UV,electrospinning,95,0.95
109,"Zhou et al., 2021",TiO2,Single,PVDF,MF,minocycline,0.05,457.5,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,10,5,0,30,UV,electrospinning,85,0.85
109,"Zhou et al., 2021",TiO2,Single,PVDF,MF,minocycline,0.05,457.5,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,10,3,0,30,UV,electrospinning,60,0.6
109,"Zhou et al., 2021",TiO2,Single,PVDF,MF,minocycline,0.05,457.5,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,20,7,0,30,UV,electrospinning,80,0.8
109,"Zhou et al., 2021",TiO2,Single,PVDF,MF,minocycline,0.05,457.5,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,30,7,0,30,UV,electrospinning,80,0.8
109,"Zhou et al., 2021",TiO2,Single,PVDF,MF,minocycline,0.05,457.5,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,50,7,0,30,UV,electrospinning,76,0.76
114,"Xu et al., 2022",g-C3N4,Single,PES,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,6.6,3.8,0,240,visible,electrospinning,70,0.7
114,"Xu et al., 2022",g-C3N4,Single,PES,MF,CIP,0.28,331.34,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,8.9,7.6,0,240,visible,electrospinning,50,0.5
115,"Xu et al., 2022",g-C3N4,Single,PES,UF,CIP,0.28,331.34,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,6.6,6,0,180,visible,electrospinning,59.6,0.596
115,"Xu et al., 2022",g-C3N4,Single,PES,UF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,8.9,6,0,180,visible,electrospinning,93,0.93
117,"Cui et al., 2022","AgVO3, rGO, g-C3N4",Heterojunction + 2D,PVDF,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,7,40,120,visible,phase inversion,88.5,0.885
118,"Serra et al., 2021​",TiO2,Single,PVDF,MF,CIP,0.28,331.34,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,10,7,0,300,UV,phase inversion,77,0.77
120,"Meng et al., 2022",None,No photocatalyst,PVDF,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,7,40,70,full,phase inversion,37.9,0.379
120,"Meng et al., 2022","TiO2, GO, ZnCdS",Heterojunction + 2D,PVDF,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,25,7,0,360,full,phase inversion,87.5,0.875
120,"Meng et al., 2022","TiO2, rGO, ZnCdS",Heterojunction + 2D,PVDF,MF,LEV,-0.39,361.4,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,25,7,40,70,full,phase inversion,75,0.75
120,"Meng et al., 2022","TiO2, rGO, ZnCdS",Heterojunction + 2D,PVDF,MF,CIP,0.28,331.34,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,25,7,40,70,full,phase inversion,68,0.68
120,"Meng et al., 2022","TiO2, rGO",Single + 2D,PVDF,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,7,40,60,full,phase inversion,79,0.79
120,"Meng et al., 2022","TiO2, ZnCdS",Heterojunction,PVDF,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,7,40,60,full,phase inversion,84.2,0.842
120,"Meng et al., 2022","TiO2, rGO, ZnCdS",Heterojunction + 2D,PVDF,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,20,7,40,60,full,phase inversion,92,0.92
121,"Wang et al., 2022",Fe,Single,Cellulosics,MF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,10,7,120,60,visible,phase inversion,95.7,0.957
122,"Labuto et al., 2022",TiO2,Single,PES,MF,EE2,3.67,296.4,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O,10,7,0,90,UV,sol-gel,80,0.8
122,"Labuto et al., 2022",TiO2,Single,PES,MF,EE2,3.67,296.4,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O,10,7,0,180,UV,sol-gel,95,0.95
125,"Fischer et al., 2018",TiO2,Single,PES,MF,CBZ,2.45,236.27,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,25,7,0,120,UV,dip-coating,76,0.76
125,"Fischer et al., 2018",TiO2,Single,PES,MF,CBZ,2.45,236.27,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,25,7,0,100,UV,dip-coating,72,0.72
125,"Fischer et al., 2018",TiO2,Single,PES,MF,CBZ,2.45,236.27,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,25,7,0,80,UV,dip-coating,69,0.69
125,"Fischer et al., 2018",TiO2,Single,PES,MF,CBZ,2.45,236.27,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,25,7,0,60,UV,dip-coating,60,0.6
125,"Fischer et al., 2018",TiO2,Single,PES,MF,CBZ,2.45,236.27,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,25,7,0,40,UV,dip-coating,54,0.54
125,"Fischer et al., 2018",TiO2,Single,PES,MF,CBZ,2.45,236.27,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,25,7,0,20,UV,dip-coating,38,0.38
