Paper No.,Citation,Photocatalyst type,Photocatalyst category,Membrane materials,Membrane type,PPCPs,logP,MW,SMILES,Original concentration (mg/L),pH,Dark time,Light time,Light frequency,Hybrid methods,Removal efficiency (%),Removal efficiency
26,"Espíndola et al., 2019",TiO2,Single,Ceramics,MF,OTC,-0.9,460.4,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,5,7.5,0,180,UV,dip-coating,90,0.9
27,"Kamaludin et al., 2022",TiO2,Single,PVDF,MF,BPA,3.32,228.29,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,5,7,0,360,visible,phase inversion,72.5,0.725
28,"Wang et al., 2021","TiO2, FeCl3",Single + metal,PVDF,UF,SD,-0.2,250.28,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,0.1,7.5,0,120,UV,phase inversion,92.6,0.926
29,"Wang et al., 2017","TiO2, Au",Single + metal,PVDF,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,7,0,120,visible,vacuum filtration,92,0.92
32,"Boopathy et al., 2020","GO, ZnO",Single + 2D,PES,NF,CIP,0.28,331.34,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,10,7,0,240,UV,phase inversion,95.1,0.951
33,"Koe et al., 2020",TiO2,Single,PSF,UF,DCF,4.51,296.1,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,10,7,30,120,visible,phase inversion,15,0.15
33,"Koe et al., 2020","TiO2, CQDs",Single + 2D,PSF,UF,DCF,4.51,296.1,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,10,7,30,120,visible,phase inversion,62.3,0.623
33,"Koe et al., 2020",TiO2,Single,PSF,UF,DCF,4.51,296.1,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,10,7,30,120,UV,phase inversion,20,0.2
33,"Koe et al., 2020","TiO2, CQDs",Single + 2D,PSF,UF,DCF,4.51,296.1,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,10,7,30,120,UV,phase inversion,55,0.55
34,"Li et al., 2022","TiO2, GO",Single + 2D,Ceramics,MF,NAP,3.18,230.26,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,0.05,6,0,120,UV,vacuum filtration,100,1
34,"Li et al., 2022","TiO2, GO",Single + 2D,Ceramics,MF,CBZ,2.45,236.27,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,0.05,6,0,120,UV,vacuum filtration,90,0.9
34,"Li et al., 2022","TiO2, GO",Single + 2D,Ceramics,MF,DCF,4.51,296.1,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,0.05,6,0,120,UV,vacuum filtration,100,1
37,"Lin et al., 2022","Mxene, g-C3N4, CS",Single + 2D,PVDF,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,10,5,0,480,visible,vacuum filtration,93.4,0.934
38,"Wan et al., 2021","g-C3N4, Bi2MoO6",Heterojunction,PVDF,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,5,6,0,120,visible,vacuum filtration,67.9,0.679
39,"Luo et al., 2021","BiOBr, TiO2, CQDs",Heterojunction + 2D,PVDF,MF,TC,-1.37,444.4,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,5,7,0,120,visible,phase inversion,77,0.77
41,"Wang et al., 2020","g-C3N4, PI",Single + 2D,Ceramics,MF,BPA,3.32,228.29,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,5,7,0,20,visible,phase inversion,100,1
41,"Wang et al., 2020","g-C3N4, PI",Single + 2D,Ceramics,MF,BPA,3.32,228.29,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,10,7,0,20,visible,phase inversion,93,0.93
41,"Wang et al., 2020","g-C3N4, PI",Single + 2D,Ceramics,MF,BPA,3.32,228.29,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,20,7,0,20,visible,phase inversion,65,0.65
41,"Wang et al., 2020","g-C3N4, PI",Single + 2D,Ceramics,MF,BPA,3.32,228.29,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,30,7,0,20,visible,phase inversion,50,0.5
41,"Wang et al., 2020","g-C3N4, PI",Single + 2D,Ceramics,MF,BPA,3.32,228.29,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,10,3,0,60,visible,phase inversion,100,1
